Id,Label,Description,Imageurl
SCG,SuperClG,Supercluster of Galaxies,galaxy.png
SFR,StarFormingReg,Star Forming Region,nebula.png
sg*,Supergiant,Evolved Supergiant,star.png
sh,HIshell,Interstellar Shell,unknown.png
smm,smmRad,Sub-Millimetric Source,unknown.png
SN*,Supernova,SuperNova,supernova.png
SNR,SNRemnant,SuperNova Remnant,supernova.png
St*,Stream,Stellar Stream,star.png
SX*,SXPheV*,SX Phe Variable,star.png
Sy*,Symbiotic*,Symbiotic Star,binary.png
Sy1,Seyfert1,Seyfert 1 Galaxy,galaxy.png
Sy2,Seyfert2,Seyfert 2 Galaxy,galaxy.png
SyG,Seyfert,Seyfert Galaxy,galaxy.png
TT*,TTauri*,T Tauri Star,star.png
ULX,ULX,Ultra-luminous X-ray Source,black_hole.png
UV,UV,UV-emission Source,unknown.png
V*,Variable*,Variable Star,star.png
var,Variable,Variable source,unknown.png
vid,Void,Underdense Region of the Universe,unknown.png
WD*,WhiteDwarf,White Dwarf,star.png
WR*,WolfRayet*,Wolf-Rayet,star.png
WV*,Type2Cep,Type II Cepheid Variable,star.png
X,X,X-ray Source,unknown.png
XB*,XrayBin,X-ray Binary,black_hole.png
Y*O,YSO,Young Stellar Object,star.png
